"","day","treatment","batch","trial_num","insem_start","trial_end","insem_dur","encounter","running_away_dur","refusal_posture","insem_resist","mounts","trial_dur","prop_run","prop_insem_resist","insem_lat"
"55","5","focal",1,59,132.94,248.916,115.976,21.414,8.51,0,77.51,2,227.502,0.076305076843068,0.668327929916535,111.526
"56","1","virgin",2,60,83.41,148.161,64.751,25.671,2.251,0,38.257,1,122.49,0.0389857808413724,0.590832574014301,57.739
"57","1","virgin",1,61,255.932,338.678,82.746,87.419,0,0,25.983,1,251.259,0,0.3140091363933,168.513
"58","3","focal",2,63,109.673,141.429,31.756,100.422,0.502,0,0,1,41.007,0.0542644038482326,0,9.251
"59","1","virgin",1,64,360.419,435.168,74.749,14.413,1,0,0,1,420.755,0.00289012329265967,0,346.006
"60","2","virgin",2,65,119.434,184.928,65.494,112.675,0,0,29.252,1,72.253,0,0.446636333099215,6.759
"61","3","virgin",1,66,53.182,93.441,40.259,33.418,0,0,4.255,1,60.023,0,0.105690653021685,19.764
"62","2","virgin",2,67,34.171,96.927,62.756,23.411,0,0,44.487,1,73.516,0,0.708888393141692,10.76
"63","2","focal",1,68,101.669,142.423,40.754,11.411,0,0,8.255,1,131.012,0,0.202556804240075,90.258
"64","1","focal",2,69,374.17,533.682,159.512,38.914,0,0,11.259,4,494.768,0,0.0705840312954511,335.256
"65","2","focal",2,70,22.164,55.421,33.257,13.168,0,0,0,1,42.253,0,0,8.996
"66","2","virgin",1,71,83.909,140.165,56.256,20.664,0,0,1.751,1,119.501,0,0.0311255688282139,63.245
"67","3","virgin",2,72,109.674,155.926,46.252,12.16,14.512,0,0,1,143.766,0.148819656664684,0,97.514
"68","4","focal",2,73,226.416,254.673,28.257,78.413,13.499,0,0,3,176.26,0.0912076106565408,0,148.003
"69","2","virgin",1,75,268.44,340.415,71.975,239.417,0,0,4.263,1,100.998,0,0.0592288989232372,29.023
"70","5","virgin",1,76,510.181,567.439,57.258,11.655,0,0,6.77,24,555.784,0,0.11823675294282,498.526
"71","6","virgin",2,77,185.178,247.68,62.502,40.174,0,0,13.756,1,207.506,0,0.220088957153371,145.004
"72","3","virgin",1,78,339.155,409.172,70.017,335.156,0,0,0.75,1,74.016,0,0.0107116843052402,3.99899999999997
"73","1","focal",2,79,100.419,178.924,78.505,74.662,0,0,45.707,1,104.262,0,0.582217693140564,25.757
"74","2","virgin",2,80,116.937,180.429,63.492,16.912,0.751,0,33.996,1,163.517,0.00750812296925769,0.535437535437535,100.025
"75","2","virgin",2,81,65.188,134.905,69.717,13.408,0.277,0,51.241,1,121.497,0.00534955581305523,0.734985728014688,51.78
"76","6","virgin",1,82,91.414,143.909,52.495,10.905,1.497,3.998,23.492,1,133.004,0.0682532387683365,0.447509286598724,80.509
"77","5","virgin",2,83,200.692,274.184,73.492,25.922,0,0,41.014,2,248.262,0,0.558074348228379,174.77
"78","2","virgin",2,84,71.905,132.405,60.5,33.411,0,0,1.753,1,98.994,0,0.0289752066115702,38.494
"79","5","virgin",2,85,NA,NA,NA,46.929,15.517,0,0,3,1200,NA,NA,NA
"80","3","virgin",1,86,34.414,88.926,54.512,13.413,0,0,10.765,1,75.513,0,0.19747945406516,21.001
"81","4","focal",2,87,213.686,260.423,46.737,52.433,0,0,15.264,2,207.99,0,0.326593491238205,161.253
"82","6","focal",2,88,646.181,668.934,22.753,29.915,14.001,0,0,11,639.019,0.0227190855896642,0,616.266
