date,arena,treatment,trial_start,mating_start,mating_end,pursuit_start,mating_duration,pursuit_duration,harassment_start,notes,
05-12-2022,6,high,10:50:19 AM,10:52:18 AM,10:53:03 AM,#VALUE!,45,#VALUE!,NA,,
05-12-2022,7,high,10:50:50 AM,10:55:40 AM,10:58:36 AM,#VALUE!,176,#VALUE!,NA,,
05-12-2022,8,high,10:51:13 AM,10:54:51 AM,10:56:23 AM,#VALUE!,92,#VALUE!,NA,,
05-12-2022,9,high,10:52:55 AM,10:56:57 AM,10:58:23 AM,#VALUE!,86,#VALUE!,NA,,
05-12-2022,10,high,10:54:37 AM,10:54:49 AM,10:57:34 AM,#VALUE!,165,#VALUE!,NA,,
05-12-2022,11,high,10:55:06 AM,11:00:41 AM,11:02:43 AM,#VALUE!,122,#VALUE!,NA,,
05-12-2022,12,high,10:55:22 AM,10:56:09 AM,10:57:30 AM,#VALUE!,81,#VALUE!,NA,,
05-12-2022,13,high,10:56:30 AM,10:56:44 AM,10:58:44 AM,#VALUE!,120,#VALUE!,NA,,
05-12-2022,14,high,10:59:30 AM,11:01:35 AM,11:03:55 AM,#VALUE!,140,#VALUE!,NA,,
05-12-2022,15,high,10:59:56 AM,11:06:53 AM,11:08:57 AM,#VALUE!,124,#VALUE!,NA,,
05-12-2022,16,high,11:00:37 AM,11:00:38 AM,11:03:08 AM,#VALUE!,150,#VALUE!,NA,,
05-12-2022,17,high,11:00:55 AM,11:05:49 AM,11:06:56 AM,#VALUE!,67,#VALUE!,NA,,
05-12-2022,18,high,11:01:53 AM,11:03:02 AM,11:04:16 AM,#VALUE!,74,#VALUE!,NA,,
05-12-2022,19,high,11:02:27 AM,11:04:13 AM,11:05:40 AM,#VALUE!,87,#VALUE!,NA,,
05-12-2022,20,high,11:02:40 AM,11:03:24 AM,11:04:40 AM,#VALUE!,76,#VALUE!,NA,,
05-12-2022,1,low,10:11:12 AM,NA,NA,1226,NA,#VALUE!,10:31:38 AM,,
05-12-2022,2,low,10:11:39 AM,NA,NA,#VALUE!,NA,#VALUE!,NA,,
05-12-2022,3,low,10:12:05 AM,NA,NA,#VALUE!,NA,#VALUE!,NA,,
05-12-2022,4,low,10:12:12 AM,NA,NA,#VALUE!,NA,#VALUE!,NA,,
05-12-2022,5,low,10:12:47 AM,NA,NA,#VALUE!,NA,#VALUE!,NA,,
05-12-2022,6,low,10:18:03 AM,NA,NA,#VALUE!,NA,#VALUE!,NA,,
05-12-2022,7,low,10:18:54 AM,NA,NA,471,NA,#VALUE!,10:26:45 AM,,
05-12-2022,8,low,10:22:53 AM,NA,NA,7,NA,#VALUE!,10:23:00 AM,,
05-12-2022,9,low,10:24:19 AM,NA,NA,31,NA,#VALUE!,10:24:50 AM,,
05-12-2022,10,low,10:26:49 AM,NA,NA,556,NA,#VALUE!,10:36:05 AM,,
05-12-2022,11,low,10:27:51 AM,NA,NA,6,NA,#VALUE!,10:27:57 AM,,
05-12-2022,12,low,10:28:23 AM,NA,NA,176,NA,#VALUE!,10:31:19 AM,,
05-12-2022,13,low,10:31:22 AM,NA,NA,36,NA,#VALUE!,10:31:58 AM,,
05-12-2022,14,low,10:32:36 AM,NA,NA,307,NA,#VALUE!,10:37:43 AM,,
05-12-2022,15,low,10:33:45 AM,NA,NA,76,NA,#VALUE!,10:35:01 AM,,
05-12-2022,16,low,10:34:52 AM,NA,NA,11,NA,#VALUE!,10:35:03 AM,,
05-12-2022,17,low,10:35:37 AM,NA,NA,52,NA,#VALUE!,10:36:29 AM,,
05-12-2022,18,low,10:37:48 AM,NA,NA,32,NA,#VALUE!,10:38:20 AM,,
05-12-2022,19,low,10:38:34 AM,NA,NA,39,NA,#VALUE!,10:39:13 AM,,
05-12-2022,20,low,10:38:35 AM,NA,NA,52,NA,#VALUE!,10:39:27 AM,,
05-13-2022,1,high,10:18:07 AM,10:19:12 AM,10:20:37 AM,#VALUE!,85,#VALUE!,NA,,
05-13-2022,2,high,10:18:10 AM,10:19:30 AM,10:21:42 AM,#VALUE!,132,#VALUE!,NA,,
05-13-2022,3,high,10:18:24 AM,10:19:38 AM,10:21:00 AM,#VALUE!,82,#VALUE!,NA,,
05-13-2022,4,high,10:18:54 AM,10:20:06 AM,10:21:14 AM,#VALUE!,68,#VALUE!,NA,,
05-13-2022,5,high,10:19:05 AM,10:23:32 AM,10:24:25 AM,#VALUE!,53,#VALUE!,NA,,
05-13-2022,6,high,10:19:46 AM,10:20:20 AM,10:21:54 AM,#VALUE!,94,#VALUE!,NA,,
05-13-2022,7,high,10:19:55 AM,10:31:50 AM,10:33:05 AM,#VALUE!,75,#VALUE!,NA,,
05-13-2022,8,high,10:20:22 AM,10:36:44 AM,10:38:19 AM,#VALUE!,95,#VALUE!,NA,second male added 10:35 AM,
05-13-2022,9,high,10:20:41 AM,10:21:57 AM,10:23:07 AM,#VALUE!,70,#VALUE!,NA,,
05-13-2022,10,high,10:21:03 AM,10:22:10 AM,10:24:22 AM,#VALUE!,132,#VALUE!,NA,,
05-13-2022,11,high,10:22:23 AM,10:24:02 AM,10:25:26 AM,#VALUE!,84,#VALUE!,NA,,
05-13-2022,12,high,10:22:27 AM,10:23:16 AM,10:24:46 AM,#VALUE!,90,#VALUE!,NA,,
05-13-2022,13,high,10:22:40 AM,10:24:19 AM,10:26:28 AM,#VALUE!,129,#VALUE!,NA,,
05-13-2022,14,high,10:22:47 AM,10:26:10 AM,10:26:57 AM,#VALUE!,47,#VALUE!,NA,,
05-13-2022,15,high,10:23:04 AM,10:24:55 AM,10:26:26 AM,#VALUE!,91,#VALUE!,NA,,
05-13-2022,16,high,10:23:48 AM,10:31:30 AM,10:33:49 AM,#VALUE!,139,#VALUE!,NA,,
05-13-2022,17,high,10:23:59 AM,10:28:40 AM,10:29:31 AM,#VALUE!,51,#VALUE!,NA,,
05-13-2022,18,high,10:26:13 AM,10:26:37 AM,10:28:19 AM,#VALUE!,102,#VALUE!,NA,,
05-13-2022,19,high,10:26:23 AM,10:31:47 AM,10:33:40 AM,#VALUE!,113,#VALUE!,NA,,
05-13-2022,20,high,10:26:44 AM,10:40:32 AM,10:43:08 AM,#VALUE!,156,#VALUE!,NA,second male added 10:38 AM ish,
05-13-2022,1,low,10:46:21 AM,NA,NA,40,NA,#VALUE!,10:47:01 AM,,
05-13-2022,2,low,10:46:26 AM,NA,NA,-26,NA,#VALUE!,10:46:00 AM,"male had to be removed, new male at 10:48 AM",
05-13-2022,3,low,10:46:44 AM,NA,NA,265,NA,#VALUE!,10:51:09 AM,,
05-13-2022,4,low,10:47:36 AM,NA,NA,68,NA,#VALUE!,10:48:44 AM,,
05-13-2022,5,low,10:47:40 AM,NA,NA,83,NA,#VALUE!,10:49:03 AM,,
05-13-2022,6,low,10:47:40 AM,NA,NA,81,NA,#VALUE!,10:49:01 AM,,
05-13-2022,7,low,10:48:29 AM,NA,NA,19,NA,#VALUE!,10:48:48 AM,,
05-13-2022,8,low,10:49:26 AM,NA,NA,45,NA,#VALUE!,10:50:11 AM,,
05-13-2022,9,low,10:50:04 AM,NA,NA,151,NA,#VALUE!,10:52:35 AM,,
05-13-2022,10,low,10:53:29 AM,NA,NA,45,NA,#VALUE!,10:54:14 AM,,
05-13-2022,11,low,10:53:39 AM,NA,NA,129,NA,#VALUE!,10:55:48 AM,,
05-13-2022,12,low,10:53:45 AM,NA,NA,67,NA,#VALUE!,10:54:52 AM,,
05-13-2022,13,low,10:53:58 AM,NA,NA,173,NA,#VALUE!,10:56:51 AM,,
05-13-2022,14,low,10:54:24 AM,NA,NA,313,NA,#VALUE!,10:59:37 AM,,
05-13-2022,15,low,10:55:12 AM,NA,NA,173,NA,#VALUE!,10:58:05 AM,,
05-13-2022,16,low,10:56:23 AM,NA,NA,193,NA,#VALUE!,10:59:36 AM,,
05-13-2022,17,low,10:56:36 AM,NA,NA,83,NA,#VALUE!,10:57:59 AM,,
05-13-2022,18,low,10:56:48 AM,NA,NA,25,NA,#VALUE!,10:57:13 AM,,
05-13-2022,19,low,10:56:53 AM,NA,NA,84,NA,#VALUE!,10:58:17 AM,"male removed, new added at 11:01 AM",
05-13-2022,20,low,10:57:00 AM,NA,NA,15,NA,#VALUE!,10:57:15 AM,,
05-14-2022,1,high,10:44:17 AM,10:45:03 AM,10:46:30 AM,#VALUE!,87,#VALUE!,NA,,
05-14-2022,2,high,10:44:32 AM,10:46:46 AM,10:48:42 AM,#VALUE!,116,#VALUE!,NA,,
05-14-2022,3,high,10:44:56 AM,10:46:54 AM,10:48:26 AM,#VALUE!,92,#VALUE!,NA,,
05-14-2022,4,high,10:46:22 AM,10:51:20 AM,10:52:24 AM,#VALUE!,64,#VALUE!,NA,,
05-14-2022,5,high,10:47:29 AM,10:47:42 AM,10:48:49 AM,#VALUE!,67,#VALUE!,NA,,
05-14-2022,6,high,10:47:43 AM,10:49:14 AM,10:50:19 AM,#VALUE!,65,#VALUE!,NA,,
05-14-2022,7,high,10:48:01 AM,10:51:42 AM,10:52:57 AM,#VALUE!,75,#VALUE!,NA,,
05-14-2022,8,high,10:49:49 AM,10:51:29 AM,10:52:41 AM,#VALUE!,72,#VALUE!,NA,,
05-14-2022,9,high,10:50:03 AM,11:01:16 AM,11:02:18 AM,#VALUE!,62,#VALUE!,NA,,
05-14-2022,10,high,10:50:56 AM,10:50:58 AM,10:51:57 AM,#VALUE!,59,#VALUE!,NA,,
05-14-2022,11,high,10:51:22 AM,10:52:12 AM,10:53:08 AM,#VALUE!,56,#VALUE!,NA,,
05-14-2022,12,high,10:51:31 AM,10:53:45 AM,10:54:51 AM,#VALUE!,66,#VALUE!,NA,,
05-14-2022,13,high,10:51:44 AM,10:54:28 AM,10:55:53 AM,#VALUE!,85,#VALUE!,NA,,
05-14-2022,14,high,10:53:22 AM,10:55:00 AM,10:56:05 AM,#VALUE!,65,#VALUE!,NA,,
05-14-2022,15,high,10:55:25 AM,10:55:26 AM,10:56:17 AM,#VALUE!,51,#VALUE!,NA,,
05-14-2022,16,high,10:55:30 AM,10:57:37 AM,10:58:44 AM,#VALUE!,67,#VALUE!,NA,,
05-14-2022,17,high,10:56:08 AM,10:56:46 AM,10:57:26 AM,#VALUE!,40,#VALUE!,NA,,
05-14-2022,18,high,10:57:28 AM,10:59:02 AM,11:00:15 AM,#VALUE!,73,#VALUE!,NA,,
05-14-2022,19,high,10:57:29 AM,11:00:21 AM,11:02:02 AM,#VALUE!,101,#VALUE!,NA,,
05-14-2022,20,high,10:58:54 AM,11:00:37 AM,11:01:37 AM,#VALUE!,60,#VALUE!,NA,,
05-14-2022,1,low,10:15:07 AM,NA,NA,121,#VALUE!,#VALUE!,10:17:08 AM,,
05-14-2022,2,low,10:16:26 AM,NA,NA,1,#VALUE!,#VALUE!,10:16:27 AM,,
05-14-2022,3,low,10:16:29 AM,NA,NA,580,#VALUE!,#VALUE!,10:26:09 AM,,
05-14-2022,4,low,10:16:54 AM,NA,NA,29,#VALUE!,#VALUE!,10:17:23 AM,,
05-14-2022,5,low,10:17:25 AM,NA,NA,74,#VALUE!,#VALUE!,10:18:39 AM,,
05-14-2022,6,low,10:17:57 AM,NA,NA,100,#VALUE!,#VALUE!,10:19:37 AM,,
05-14-2022,7,low,10:18:52 AM,NA,NA,46,#VALUE!,#VALUE!,10:19:38 AM,,
05-14-2022,8,low,10:20:23 AM,NA,NA,329,#VALUE!,#VALUE!,10:25:52 AM,,
05-14-2022,9,low,10:20:51 AM,NA,NA,33,#VALUE!,#VALUE!,10:21:24 AM,,
05-14-2022,10,low,10:21:09 AM,NA,NA,44,#VALUE!,#VALUE!,10:21:53 AM,,
05-14-2022,11,low,10:22:08 AM,NA,NA,527,#VALUE!,#VALUE!,10:30:55 AM,,
05-14-2022,12,low,10:22:16 AM,NA,NA,198,#VALUE!,#VALUE!,10:25:34 AM,,
05-14-2022,13,low,10:23:06 AM,NA,NA,27,#VALUE!,#VALUE!,10:23:33 AM,,
05-14-2022,14,low,10:23:49 AM,NA,NA,96,#VALUE!,#VALUE!,10:25:25 AM,,
05-14-2022,15,low,10:24:01 AM,NA,NA,99,#VALUE!,#VALUE!,10:25:40 AM,,
05-14-2022,16,low,10:24:22 AM,NA,NA,31,#VALUE!,#VALUE!,10:24:53 AM,,
05-14-2022,17,low,10:25:45 AM,NA,NA,61,#VALUE!,#VALUE!,10:26:46 AM,,
05-14-2022,18,low,10:26:00 AM,NA,NA,41,#VALUE!,#VALUE!,10:26:41 AM,,
05-14-2022,19,low,10:26:22 AM,NA,NA,19,#VALUE!,#VALUE!,10:26:41 AM,,
05-14-2022,20,low,10:26:22 AM,NA,NA,518,#VALUE!,#VALUE!,10:35:00 AM,,
05-15-2022,1,high,10:08:00 AM,10:09:43 AM,10:14:53 AM,#VALUE!,310,#VALUE!,NA,finish time off,
05-15-2022,2,high,10:09:12 AM,10:13:16 AM,10:14:51 AM,#VALUE!,95,#VALUE!,NA,,
05-15-2022,3,high,10:09:17 AM,10:31:23 AM,10:32:38 AM,#VALUE!,75,#VALUE!,NA,,
05-15-2022,4,high,10:09:41 AM,10:11:41 AM,10:12:48 AM,#VALUE!,67,#VALUE!,NA,,
