,day,treatment,batch,arena,trial_num,insem_start,trial_end,insem_dur,encounter,running_away_dur,refusal_posture,insem_resist,mounts
76,6,virgin,1,7,82,91.414,143.909,52.495,10.905,1.497,3.998,23.492,1
77,5,virgin,2,8,83,200.692,274.184,73.492,25.922,NA,NA,41.014,2
78,2,virgin,2,9,84,71.905,132.405,60.5,33.411,NA,NA,1.753,1
79,5,virgin,2,11,85,NA,NA,NA,46.929,15.517,NA,NA,3
80,3,virgin,1,5,86,34.414,88.926,54.512,13.413,NA,NA,10.765,1
81,4,focal,2,13,87,213.686,260.423,46.737,52.433,NA,NA,15.264,2
82,6,focal,2,10,88,646.181,668.934,22.753,29.915,14.001,NA,NA,11
83,6,virgin,1,3,89,147.16,205.664,58.504,14.661,NA,NA,0.508,2
84,4,virgin,2,13,90,153.664,207.67,54.006,45.434,0.248,NA,3.251,2
85,6,virgin,1,4,91,74.415,148.413,73.998,26.921,0.748,NA,30.772,1
86,4,focal,2,9,92,48.676,72.909,24.233,9.41,4.76,NA,4.472,1
87,4,virgin,1,5,93,62.933,115.18,52.247,17.663,NA,NA,9.75,2
88,1,focal,1,7,94,180.927,239.183,58.256,16.918,15.475,13.508,0.997,1
89,6,virgin,2,11,95,55.182,131.686,76.504,15.415,1.004,NA,4.242,1
90,4,virgin,2,9,96,21.409,102.675,81.266,0.154,NA,NA,2.006,1
91,2,virgin,1,1,97,67.933,105.186,37.253,59.917,NA,NA,33.244,1
92,2,virgin,2,8,98,243.679,332.156,88.477,23.664,NA,NA,12.748,1
93,6,virgin,1,6,99,191.682,255.188,63.506,53.684,NA,NA,1.504,1
94,4,focal,1,2,100,58.687,100.689,42.002,53.409,NA,NA,NA,1
95,5,focal,2,13,101,336.914,383.664,46.75,22.165,2.002,21.751,16.257,1
96,3,virgin,2,10,104,107.933,148.68,40.747,104.677,NA,NA,5.242,1
97,1,virgin,1,5,105,99.42,164.189,64.769,7.155,NA,NA,38.52,1
99,5,virgin,2,13,107,173.674,256.433,82.759,55.681,NA,NA,15.251,2
100,2,focal,1,7,108,285.414,344.17,58.756,38.926,NA,NA,NA,1
101,2,focal,1,6,109,135.687,172.193,36.506,105.694,NA,NA,NA,1
102,1,focal,2,10,110,51.176,96.927,45.751,17.912,NA,NA,37.248,1
103,6,focal,1,4,111,252.43,286.939,34.509,20.169,11.266,NA,12.001,3
104,6,focal,1,5,112,671.66,700.662,29.002,34.922,6.246,NA,1.249,4
105,4,virgin,1,4,113,99.166,247.669,148.503,33.926,NA,NA,3.756,1
106,6,focal,1,1,115,123.432,166.693,43.261,116.68,NA,NA,12.009,1
107,1,virgin,1,2,116,NA,NA,NA,29.667,1.001,NA,NA,11
108,4,focal,1,3,117,99.418,141.171,41.753,28.671,3.006,12.253,0.758,1
109,4,virgin,2,10,118,71.69,131.155,59.465,20.166,NA,NA,NA,1
110,3,virgin,2,12,119,913.932,967.426,53.494,18.912,0.998,NA,13.756,6
111,5,focal,2,12,120,32.42,50.424,18.004,29.92,NA,NA,NA,1
112,5,virgin,2,9,121,69.441,159.19,89.749,57.932,NA,NA,1.251,1
113,1,focal,1,5,123,89.169,152.917,63.748,11.658,0.998,NA,17.999,2
114,3,focal,2,10,124,75.658,101.672,26.014,51.431,NA,NA,NA,1
115,3,virgin,1,7,125,79.409,133.17,53.761,75.409,NA,NA,20.999,1
116,1,virgin,2,13,126,122.678,167.193,44.515,41.426,NA,NA,39.257,2
117,2,focal,2,10,127,108.171,154.934,46.763,25.668,16.019,NA,18.759,2
118,5,focal,1,6,128,39.672,71.174,31.502,29.92,0.253,NA,3.998,3
119,3,virgin,2,11,129,246.423,302.932,56.509,36.673,0.494,NA,24.006,1
120,5,virgin,1,1,130,55.428,89.178,33.75,17.164,NA,NA,5.995,1
121,1,virgin,2,12,131,43.424,111.688,68.264,7.911,NA,NA,14.502,1
122,4,focal,1,7,132,148.408,195.165,46.757,19.414,4.501,NA,1.996,2
123,3,focal,2,9,133,62.185,90.692,28.507,17.918,0.999,NA,NA,2
124,5,virgin,1,3,134,127.184,198.934,71.75,36.427,NA,NA,1.024,3
125,6,focal,1,6,135,162.919,221.172,58.253,40.433,2.002,21.507,48.999,1
126,3,focal,2,11,136,104.931,127.435,22.504,28.92,6.254,NA,NA,1
127,5,focal,2,10,137,126.432,169.938,43.506,27.917,6.768,NA,0.508,2
128,2,focal,2,8,138,170.421,204.679,34.258,16.661,NA,NA,3.254,1
129,1,virgin,2,8,139,51.429,135.68,84.251,17.662,NA,NA,6.251,1
130,4,virgin,1,7,140,33.924,73.434,39.51,14.162,NA,NA,8.753,1
131,2,focal,1,1,141,213.408,262.674,49.266,41.175,NA,NA,11.26,2
132,4,focal,1,1,142,346.661,373.161,26.5,16.915,16.257,NA,NA,14
133,3,virgin,2,8,143,620.668,669.169,48.501,39.93,NA,53.264,NA,6
134,6,focal,1,7,144,NA,NA,NA,32.414,65.536,NA,NA,12
135,1,virgin,1,1,145,243.428,499.679,256.251,225.425,NA,NA,242.5,1
136,2,focal,2,9,146,220.916,298.676,77.76,13.419,NA,NA,NA,1
137,3,focal,2,12,147,208.405,259.686,51.281,30.424,0.498,NA,NA,3
138,4,focal,1,5,148,128.437,194.935,66.498,32.423,8.01,NA,1.253,7
139,2,focal,1,5,149,177.175,234.422,57.247,143.411,1.5,NA,NA,2
140,3,focal,1,3,150,46.175,62.933,16.758,28.922,NA,NA,NA,1
141,1,virgin,1,6,151,344.413,460.173,115.76,21.421,11.748,NA,2.25,2
142,5,focal,1,3,152,77.936,103.192,25.256,49.421,NA,NA,NA,1
143,3,focal,2,13,153,43.174,83.427,40.253,13.66,2.751,NA,17.754,2
144,6,virgin,2,10,154,257.18,341.186,84.006,40.794,3.263,NA,NA,3
145,2,focal,2,13,155,130.438,181.431,50.993,15.913,1.249,NA,11.003,1
146,3,virgin,2,9,156,746.419,823.671,77.252,17.659,0.998,323.756,NA,3
147,2,focal,2,11,157,106.424,193.924,87.5,24.666,NA,NA,NA,3
148,4,focal,1,4,158,192.937,227.669,34.732,12.661,7.503,NA,NA,3
149,1,focal,2,12,159,57.937,115.93,57.993,10.161,NA,NA,2.248,1
150,1,focal,1,3,160,264.62,323.13,58.51,27.386,NA,NA,NA,3
151,1,focal,1,2,161,317.633,390.388,72.755,35.855,NA,NA,NA,1
152,1,virgin,1,4,162,247.374,288.89,41.516,238.367,7.757,NA,NA,1
153,6,focal,1,2,163,87.903,109.666,21.763,31,7.499,NA,3.507,3
154,1,focal,1,6,164,134.133,180.104,45.971,21.354,1.499,NA,NA,2
155,6,virgin,1,1,165,209.365,312.13,102.765,72.118,NA,NA,3.252,1
156,5,virgin,1,7,167,31.37,88.377,57.007,23.117,NA,NA,2.29,1
157,6,virgin,2,12,168,573.043,645.797,72.754,21.367,24.69,NA,NA,4
