replicate,day,arena,focal_sex,treatment,ID,trial_start,mating_start,mating_end,mating_latency,mating_duration,seconds,notes,,"DATE, TIME, and TEMP"
2,1,7,F,NA,0,8:43:21 AM,9:02:38 AM,9:04:07 AM,0:19:17,0:01:29,89,"New Male, second male, taking a long time",,
2,1,8,F,NA,4:00,8:43:36 AM,8:44:44 AM,8:46:41 AM,0:01:08,0:01:57,117,,,
2,1,9,F,NA,1,8:44:27 AM,8:45:31 AM,8:46:44 AM,0:01:04,0:01:13,73,,,
2,1,10,F,NA,8,8:44:40 AM,8:44:53 AM,8:46:46 AM,0:00:13,0:01:53,113,,,
2,1,11,F,NA,5,8:45:28 AM,8:45:29 AM,8:47:46 AM,0:00:01,0:02:17,137,,,
2,1,12,F,NA,4,8:45:45 AM,8:46:18 AM,8:47:48 AM,0:00:33,0:01:30,90,,,
2,1,13,F,NA,2:00,8:46:02 AM,8:47:22 AM,8:48:57 AM,0:01:20,0:01:35,95,,,
2,1,14,F,NA,7,8:46:22 AM,8:47:00 AM,8:47:59 AM,0:00:38,0:00:59,59,,,
2,1,15,F,NA,9,8:46:56 AM,8:48:40 AM,8:49:54 AM,0:01:44,0:01:14,74,seems badly injured,,
2,3,1,M,NA,:9,8:42:35 AM,8:49:38 AM,8:52:08 AM,0:07:03,0:02:30,150,,,
2,3,2,M,NA,:7,8:42:36 AM,8:46:18 AM,8:48:04 AM,0:03:42,0:01:46,106,,,
2,3,3,M,NA,:1,8:42:39 AM,NA,NA,#VALUE!,#VALUE!,#VALUE!,,,
2,3,4,M,NA,0.2,8:42:42 AM,8:43:07 AM,8:44:46 AM,0:00:25,0:01:39,99,,,
2,3,5,M,NA,:3,8:42:47 AM,8:45:13 AM,8:46:26 AM,0:02:26,0:01:13,73,,,
2,3,6,M,NA,:4,8:42:52 AM,8:44:42 AM,8:46:27 AM,0:01:50,0:01:45,105,,,
2,3,7,M,NA,0.8,8:43:02 AM,8:43:23 AM,8:45:15 AM,0:00:21,0:01:52,112,,,
2,3,8,M,NA,0.5,8:43:16 AM,8:43:51 AM,8:45:35 AM,0:00:35,0:01:44,104,,,
2,3,9,M,NA,0.6,8:43:19 AM,8:43:38 AM,8:47:55 AM,0:00:19,0:04:17,257,,,
2,3,10,M,NA,0.3,8:43:32 AM,8:44:50 AM,8:46:01 AM,0:01:18,0:01:11,71,,,
2,3,11,M,NA,:6,8:43:45 AM,8:44:27 AM,8:45:48 AM,0:00:42,0:01:21,81,,,
2,3,12,M,NA,0,8:43:56 AM,8:44:28 AM,8:45:45 AM,0:00:32,0:01:17,77,,,
2,3,13,M,NA,0.4,8:44:07 AM,8:51:12 AM,8:51:43 AM,0:07:05,0:00:31,31,,,
2,3,14,M,NA,0.7,8:44:10 AM,8:48:12 AM,8:49:53 AM,0:04:02,0:01:41,101,,,
2,3,15,M,NA,0.9,8:44:14 AM,8:49:55 AM,8:53:17 AM,0:05:41,0:03:22,202,,,
2,3,16,M,NA,:0,8:44:18 AM,8:44:55 AM,8:46:39 AM,0:00:37,0:01:44,104,,,
2,3,1,F,Mated,4:00,9:09:31 AM,9:09:42 AM,9:11:18 AM,0:00:11,0:01:36,96,,,
2,3,2,F,Non-mated,2:00,9:10:19 AM,,,,NA,#VALUE!,,,
2,3,3,F,Mated,3,9:10:43 AM,9:10:53 AM,9:12:02 AM,0:00:10,0:01:09,69,,,
2,3,4,F,Non-mated,2,9:11:11 AM,,,,NA,#VALUE!,,,
2,3,5,F,Mated,7,9:13:12 AM,9:13:30 AM,9:14:53 AM,0:00:18,0:01:23,83,,,
2,3,6,F,Non-mated,0:00,9:13:31 AM,,,,NA,#VALUE!,,,
2,3,7,F,Mated,4,9:14:01 AM,9:14:03 AM,9:15:00 AM,0:00:02,0:00:57,57,,,
2,3,8,F,Non-mated,6,9:14:28 AM,,,,NA,#VALUE!,,,
2,3,9,F,Mated,1,9:17:36 AM,9:17:57 AM,9:19:33 AM,0:00:21,0:01:36,96,,,
2,3,10,F,Non-mated,8,9:18:01 AM,,,,NA,#VALUE!,,,
2,3,11,F,Mated,9:00,9:19:35 AM,9:19:43 AM,9:21:05 AM,0:00:08,0:01:22,82,Not using,,
2,3,12,F,Non-mated,0,9:19:38 AM,,,,NA,#VALUE!,,,
2,3,13,F,Mated,5,9:20:17 AM,9:20:21 AM,9:22:41 AM,0:00:04,0:02:20,140,,,
2,3,14,F,Non-mated,1:00,9:20:29 AM,,,,NA,#VALUE!,Not using,,
3,1,1,F,NA,,9:00:15 AM,9:38:56 AM,9:39:44 AM,,0:00:48,48,Second male,,
3,1,2,F,NA,,9:00:24 AM,9:03:23 AM,9:04:06 AM,,0:00:43,43,,,
3,1,3,F,NA,,9:00:31 AM,9:02:50 AM,9:04:07 AM,,0:01:17,77,,,
3,1,4,F,NA,,9:00:42 AM,9:09:24 AM,9:10:17 AM,,0:00:53,53,,,
3,1,5,F,NA,,9:00:53 AM,9:03:32 AM,9:10:18 AM,,0:06:46,406,,,
