day,treatment,batch,trial_num,arena,insem_start,insem_end,insem_dur,encounter,running_away_dur,refusal_posture,insem_resist,mounts,trial_dur,prop_run,prop_insem_resist,insem_lat,con_insem_dur,con_prop_run,con_prop_insem_resist,con_insem_lat,con_prop_run_2,con_insem_dur_2,con_insem_lat_2
4,focal,2,73,8,226.416,254.673,28.257,78.413,13.499,0,0,3,176.26,0.091207611,0,148.003,-29.489,0.076585726,-0.059482,106.9855,0.096585726,30.511,236.9855
1,focal,2,79,13,100.419,178.924,78.505,74.662,0,0,45.707,1,104.262,0,0.582217693,25.757,3.756,0,0.268208693,-43.738,0.02,63.756,86.262
4,focal,2,87,13,213.686,260.423,46.737,52.433,0,0,15.264,2,207.99,0,0.326593491,161.253,-11.009,0,0.267111491,120.2355,0.02,48.991,250.2355
6,focal,2,88,10,646.181,668.934,22.753,29.915,14.001,0,0,11,639.019,0.022719086,0,616.266,-52.498,0.007639086,-0.04322,481.393,0.027639086,7.502,611.393
4,focal,2,92,9,48.676,72.909,24.233,9.41,4.76,0,4.472,1,63.499,0.121224469,0.184541741,39.266,-33.513,0.07496181,0.125059741,-1.7515,0.09496181,26.487,128.2485
1,focal,1,94,7,180.927,239.183,58.256,16.918,15.475,13.508,0.997,1,222.265,0.176715912,0.017114117,164.009,-16.493,0.130398398,-0.296894883,94.514,0.150398398,43.507,224.514
4,focal,1,100,2,58.687,100.689,42.002,53.409,0,0,0,1,47.28,0,0,5.278,-15.744,0,-0.059482,-35.7395,0.02,44.256,94.2605
5,focal,2,101,13,336.914,383.664,46.75,22.165,2.002,21.751,16.257,1,361.499,0.075466483,0.347743316,314.749,-10.747,0.065706959,0.235140316,264.2435,0.085706959,49.253,394.2435
1,focal,2,106,14,484.164,547.415,63.251,44.175,5.502,0,0,5,503.24,0.012504858,0,439.989,-11.498,0.010933153,-0.314009,370.494,0.030933153,48.502,500.494
2,focal,1,108,7,285.414,344.17,58.756,38.926,0,0,0,1,305.244,0,0,246.488,-10.961,0,-0.446636,217.14,0.02,49.039,347.14
2,focal,1,109,6,135.687,172.193,36.506,105.694,0,0,0,1,66.499,0,0,29.993,-33.211,0,-0.446636,0.645,0.02,26.789,130.645
