"","V1","V2"
"1",300.264227642276,58.1918158567775
"2",190.082655826558,290.959079283887
"3",360.914634146341,128.785166240409
"4",109.215447154472,278.557544757033
"5",52.6084010840108,0
"6",214.342818428184,9.53964194373401
"7",415.5,159.312020460358
"8",306.329268292683,335.795396419437
"9",127.410569105691,45.7902813299233
"10",346.762872628726,348.196930946292
"11",42.5,263.294117647059
"12",268.928184281843,310.992327365729
"13",46.5433604336043,64.8695652173913
"14",94.0528455284553,349.150895140665
"15",45.5325203252033,140.23273657289
"16",398.315718157182,112.567774936061
"17",45.5325203252033,356.782608695652
"18",201.20189701897,44.8363171355498
"19",147.627371273713,373
"20",353.838753387534,260.432225063939
"21",258.819783197832,127.831202046036
"22",295.210027100271,223.227621483376
"23",372.033875338753,54.3759590792839
"24",144.594850948509,143.09462915601
