"","V1","V2"
"1",265.822916666667,50.5408163265306
"2",277,215
"3",364,147.403089566002
"4",352.687529759004,193.516215705058
"5",65,50
"6",179,46
"7",29,112
"8",94,247
"9",196.014125299998,280.775510204082
"10",251,265
"11",295.4453125,128.69387755102
"12",145.640625,285
"13",84,160
"14",338.609375,28.7142857142857
"15",176.955729166667,219.520408163265
"16",327,160
"17",33,280
"18",161.721354166667,154.040816326531
"19",221,128
"20",293,285
"21",128,0
"22",229,0
"23",362.824932902503,98.965847862416
"24",342,256
