"","V1","V2"
"1",147,42
"2",85,210
"3",150,381
"4",350,375
"5",34,257
"6",209,0
"7",193,274
"8",401,306
"9",186,111
"10",358,43
"11",343,245
"12",209,170
"13",263,39
"14",269,283
"15",294,82
"16",427,199
"17",67,336
"18",57,113
"19",70,10
"20",397,113
"21",237,392
"22",292,190
"23",416,365
"24",400,14
