"","V1","V2"
"1",157.963625154131,230.622784810127
"2",41.9494451294698,156.354430379747
"3",233.323263460748,352.774683544304
"4",258.112618166872,0
"5",58.3897451705713,317.743845690175
"6",419.739210850801,92.8354430379746
"7",92.519728729963,109.448101265823
"8",221.424373201808,303.913924050633
"9",289.952065351418,134.529957805907
"10",363.63098540896,49.2097649186257
"11",210.531930743938,386
"12",410.517570900123,310.558987341772
"13",225.390669954788,65.473417721519
"14",36,255.053164556962
"15",259.104192355117,260.916455696203
"16",194.651870119194,116.288607594937
"17",328.514385532265,206.192405063291
"18",97.6213779284834,26.7570825798674
"19",310.046316276202,363.547317661242
"20",124.250102753802,249.189873417722
"21",128.216399506782,322.481012658228
"22",422,220.748257986739
"23",355.286888614879,307.822784810127
"24",111.017545211673,374.324605183846
