"","V1","V2"
"1",174,157
"2",285.686868686869,355.670103092784
"3",381.40404040404,286.432989690722
"4",131.424242424242,280.742268041237
"5",413,116.659793814433
"6",77.5252525252525,149.855670103093
"7",223.424242424242,105.278350515464
"8",361.303580148189,99.19819096498
"9",145.363636363636,8.53608247422682
"10",80.3131313131313,12.3298969072165
"11",265.242424242424,0
"12",328.434343434343,221.938144329897
"13",327.000954597352,43.2153917920007
"14",243.868686868687,149.855670103093
"15",131.424242424242,368
"16",225,245
"17",93.5950208798332,210.799857946699
"18",209.530497600724,36.2422678845574
"19",350.737373737374,339.546391752577
"20",273.606060606061,203.917525773196
"21",31,280
"22",77.5252525252525,81.5670103092784
"23",393.484848484848,186.845360824742
"24",211.343434343434,345.237113402062
