replicate,start_time,end_time,behaviour,focal,male_ID,partner,female_ID,treatment,avoidances,avoidance_success,aborts,notes
3,10:08:52 AM,,mount,:4,H,7,M,recently,n,NA,y,
3,10:27:55 AM,,mount,:3,G,7,M,recently,y,y,NA,
3,10:41:24 AM,,mount,:6,E,7,M,recently,y,y,NA,
3,10:36:53 AM,10:54:14 AM,mating,0.8,K,4:00,N,recently,n,NA,n,
3,10:33:58 AM,,mount,0.8,K,4:00,N,recently,n,NA,y,
3,10:34:00 AM,,mount,0,A,4:00,N,recently,y,y,NA,
3,10:50:14 AM,,mount,:4,H,2:00,O,recently,y,n,NA,
4,9:45:00 AM,,mating,:1,A,0,V,distantly,n,NA,n,
4,9:46:00 AM,,mating,0.2,L,6,X,distantly,n,NA,n,
4,9:47:11 AM,,mating,0.1,H,7,S,distantly,n,NA,n,
4,9:56:28 AM,,mount,:1,A,6,X,distantly,n,NA,y,
4,9:56:47 AM,,mount,0.7,D,6,X,distantly,n,NA,y,
4,10:02:16 AM,10:03:12 AM,mating,0.4,I,9,U,distantly,n,NA,n,
4,10:07:41 AM,,mount,0.7,D,0,V,distantly,n,NA,y,
4,10:08:27 AM,10:08:56 AM,mating,0.2,L,3:00,T,distantly,n,NA,n,
4,10:11:31 AM,,mount,0.2,L,7,S,distantly,n,NA,y,
4,10:12:32 AM,10:13:05 AM,mating,:9,G,3:00,T,distantly,n,NA,n,
4,10:14:34 AM,,mount,:4,J,0,V,distantly,n,NA,y,
4,10:14:51 AM,,mount,:4,J,7,S,distantly,n,NA,y,
4,10:20:16 AM,,mating,0.2,L,9,U,distantly,n,NA,n,
4,10:22:19 AM,10:23:19 AM,mating,0.4,I,0,V,distantly,n,NA,n,
4,10:23:08 AM,,mount,0.3,B,3:00,T,distantly,n,NA,n,
4,10:27:34 AM,,mount,0.9,C,9,U,distantly,n,NA,y,
4,10:33:58 AM,10:35:15 AM,mating,0.9,C,3:00,T,distantly,n,NA,n,
4,10:36:34 AM,,mount,0.3,B,7,S,distantly,n,NA,y,
4,10:43:41 AM,,mount,:1,A,3:00,T,distantly,n,NA,y,
4,9:48:11 AM,9:48:33 AM,mating,0,K,7:00,Q,recently,n,NA,n,
4,9:56:56 AM,10:01:24 AM,mating,0.7,D,3,N,recently,n,NA,n,
4,10:04:32 AM,,mount,0.3,B,3,N,recently,n,NA,y,
4,10:27:15 AM,,mount,:1,A,1:00,O,recently,n,NA,y,
4,10:29:05 AM,,mount,0.4,I,8,M,recently,n,NA,y,
4,10:30:57 AM,,mount,0.4,I,8,M,recently,n,NA,y,
4,10:41:13 AM,,mount,0,K,7:00,Q,recently,n,NA,y,
5,9:51:03 AM,,mating,0.4,D,7,M,recently,n,NA,n,
5,9:51:10 AM,9:52:06 AM,mating,0.2,C,0:00,X,recently,n,NA,n,
5,9:51:11 AM,,mating,0.7,J,5,V,distantly,n,NA,n,
5,9:51:29 AM,9:51:44 AM,mating,:0,I,7:00,P,recently,n,NA,n,
5,9:51:31 AM,9:52:13 AM,mating,0.6,K,0:00,X,distantly,n,NA,n,
5,9:51:48 AM,,mating,:1,I,8,N,recently,n,NA,n,
5,9:52:15 AM,,mount,:3,E,9,T,distantly,n,NA,y,
5,9:52:54 AM,9:53:32 AM,mating,0.1,B,9,T,distantly,n,NA,n,
5,9:53:28 AM,,mount,0.8,G,8,N,recently,n,NA,y,
5,9:53:46 AM,9:55:19 AM,mating,:7,L,2,W,distantly,n,NA,n,
5,9:54:28 AM,,mating,:3,E,0:00,X,distantly,n,NA,n,
5,9:55:06 AM,9:55:40 AM,mating,0.8,G,3,O,recently,n,NA,n,
5,9:56:57 AM,,mount,0.7,J,7,M,recently,n,NA,y,
5,9:57:25 AM,,mating,0.9,H,5,V,distantly,n,NA,n,
5,9:58:01 AM,,mount,0.2,C,6:00,Q,recently,n,NA,y,
5,9:58:54 AM,,mount,0.9,H,7,M,recently,n,NA,y,
5,9:59:28 AM,,mount,0.8,G,9,T,distantly,n,NA,y,
5,10:00:03 AM,,mount,0.8,G,7:00,P,recently,n,NA,y,
5,10:00:57 AM,,mount,:7,L,6:00,Q,recently,n,NA,y,
5,10:03:28 AM,,mating,:7,L,1,S,distantly,n,NA,n,
5,10:06:17 AM,,mount,0.2,C,9,T,distantly,n,NA,y,
5,10:06:24 AM,10:06:57 AM,mating,0.9,H,0:00,X,distantly,n,NA,n,
5,10:09:21 AM,,mount,0.2,C,5,V,distantly,n,NA,y,
5,10:10:13 AM,,mount,0.7,J,8,N,recently,n,NA,y,
5,10:12:12 AM,,mount,0.1,B,0:00,X,distantly,n,NA,y,
5,10:12:25 AM,,mount,:3,E,8,N,recently,n,NA,y,
5,10:12:25 AM,,mount,0.1,B,7:00,P,recently,n,NA,y,
5,10:15:35 AM,,mount,0.8,G,7,M,recently,n,NA,y,
5,10:16:14 AM,,mount,0.2,C,9,T,distantly,n,NA,y,
5,10:16:28 AM,,mount,:0,I,6,U,distantly,n,NA,y,
5,10:17:16 AM,,mount,0.8,G,7:00,P,recently,n,NA,y,
5,10:18:57 AM,,mount,0.1,B,7:00,P,recently,n,NA,y,
5,10:27:55 AM,,mount,0,A,0,R,recently,n,NA,y,
5,10:28:15 AM,,mount,:0,I,0,R,recently,n,NA,y,
5,10:28:26 AM,,mount,0.7,J,0,R,recently,n,NA,y,
5,10:29:46 AM,,mount,:0,I,6,U,distantly,n,NA,y,
5,10:31:00 AM,,mount,0.1,B,0,R,recently,n,NA,y,
5,10:31:38 AM,,mount,:3,E,6,U,distantly,n,NA,y,
5,10:31:52 AM,10:32:49 AM,mating,0,A,3,O,recently,n,NA,n,
5,10:32:16 AM,,mount,:0,I,5,V,distantly,n,NA,y,
5,10:35:42 AM,,mount,:0,I,5,V,distantly,n,NA,y,
5,10:35:56 AM,,mount,0.7,J,5,V,distantly,n,NA,y,
5,10:39:44 AM,,mount,0.9,H,3,O,recently,n,NA,y,
5,10:46:56 AM,,mount,0.7,J,5,V,distantly,n,NA,y,
5,10:49:46 AM,,mount,0.9,H,3,O,recently,n,NA,y,
1,9:56:03 AM,,mount,0,A,4,P,recently,y,y,NA,
1,9:57:56 AM,,mount,0.4,D,4,P,recently,y,y,NA,
1,10:03:35 AM,,mount,0.4,D,4,P,recently,y,y,NA,
1,10:38:36 AM,,mount,0.7,F,9:00,Q,recently,y,y,NA,
1,10:26:48 AM,,mount,0.2,B,0,S,distantly,y,y,NA,
1,10:03:53 AM,,mount,:9,L,4:00,W,distantly,y,y,NA,
1,10:19:23 AM,,mount,0.5,E,4:00,W,distantly,y,y,NA,
1,9:54:15 AM,,mount,0.2,B,7,X,distantly,y,y,NA,
2,10:03:32 AM,,mount,0,A,4:00,M,recently,y,y,NA,
2,10:11:49 AM,,mount,0.6,D,1,N,recently,y,y,NA,
2,10:33:15 AM,,mount,:0,G,1,N,recently,y,y,NA,
2,10:10:44 AM,,mount,:6,J,7,O,recently,y,y,NA,
2,9:57:03 AM,,mount,:9,L,4,Q,recently,y,y,NA,
2,9:57:37 AM,,mount,0.3,B,4,Q,recently,y,y,NA,
2,10:08:23 AM,,mount,0.6,D,4,Q,recently,y,y,NA,
2,10:40:51 AM,,mount,:9,L,4,Q,recently,y,y,NA,
2,10:01:33 AM,,mount,0,A,5,R,recently,y,y,NA,
2,10:04:46 AM,,mount,0,A,5,R,recently,y,y,NA,
2,10:08:07 AM,,mount,0,A,5,R,recently,y,y,NA,
2,10:08:34 AM,,mount,0,A,5,R,recently,y,y,NA,
2,10:36:23 AM,,mount,0,A,5,R,recently,y,y,NA,
2,10:36:31 AM,,mount,0.3,B,5,R,recently,y,y,NA,
2,10:06:12 AM,,mount,0.6,D,8,U,distantly,y,y,NA,
2,10:22:43 AM,,mount,0.3,B,8,U,distantly,y,y,NA,
2,10:01:05 AM,,mount,0.6,D,0:00,V,distantly,y,y,NA,
3,10:48:30 AM,,mount,0.9,L,2:00,O,recently,y,y,NA,
3,10:53:51 AM,,mount,:4,H,2:00,O,recently,y,y,NA,
3,10:53:52 AM,,mount,0.3,B,2:00,O,recently,y,y,NA,
3,9:59:43 AM,,mating,0.2,J,2:00,O,recently,y,y,NA,
3,10:26:19 AM,,mount,0.3,B,9:00,P,recently,y,y,NA,
3,10:19:13 AM,,mount,:4,H,2,Q,recently,n,NA,y,
3,10:27:25 AM,10:28:46 AM,mating,:4,H,3:00,R,recently,n,NA,n,
3,10:06:45 AM,,mount,:6,E,3:00,R,recently,y,y,NA,
3,10:44:10 AM,,mating,:7,F,0:00,S,distantly,y,n,n,
3,10:29:35 AM,,mount,:6,E,0:00,S,distantly,y,y,NA,
3,10:34:59 AM,,mount,0.3,B,0:00,S,distantly,y,y,NA,
3,10:35:54 AM,10:37:54 AM,mating,0.3,B,0:00,S,distantly,n,NA,n,
4,9:58:05 AM,,mount,0,K,6,X,distantly,y,y,NA,
4,10:05:37 AM,,mount,0.3,B,6,X,distantly,y,y,NA,
4,10:05:44 AM,,mount,0.4,I,6,X,distantly,y,y,NA,
